#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
1,Mike Trout,LAA,12.2,4.2,0.8,0.2,1.4,-0.5,,4.67,4.27,5.66,0.85,5.84,-12.40,
2,Jesse Winker,CIN,11.4,0.2,0.2,-1.6,0.8,-0.3,,5.10,0.32,1.55,-3.68,2.21,-7.06,
3,Nick Solak,TEX,10.9,-1.9,-1.7,0.2,-0.6,-0.1,,4.74,-1.83,-3.72,0.33,-1.07,-0.85,
4,Vladimir Guerrero Jr.,TOR,9.5,3.1,0.2,2.3,-0.8,,,4.12,3.02,0.68,4.49,-1.75,,
5,Byron Buxton,MIN,9.4,1.2,3.8,1.7,-0.7,0.0,,6.98,1.41,20.93,8.91,-2.09,-0.90,
6,Ronald Acuna Jr.,ATL,8.0,3.4,2.8,0.5,1.7,0.0,,2.78,4.81,14.85,2.61,2.94,-0.30,
7,Shohei Ohtani,LAA,7.4,3.9,-1.3,0.6,0.2,-0.4,,3.87,4.01,-11.74,1.12,0.28,-11.16,
8,Yermin Mercedes,CHW,7.2,0.7,1.2,-0.5,3.4,-0.2,,4.60,0.87,4.28,-0.95,11.48,-4.14,
9,Mark Canha,OAK,7.2,0.3,0.1,-1.5,0.3,0.6,,2.48,0.22,0.37,-2.72,0.65,4.91,
10,Yuli Gurriel,HOU,7.0,1.4,0.0,-1.1,2.7,-0.4,,3.15,1.43,-0.09,-3.51,4.53,-3.29,
11,Kris Bryant,CHC,6.7,3.5,0.9,0.9,2.2,,,2.88,2.77,3.07,2.93,4.58,,
12,Chris Taylor,LAD,6.4,2.3,-1.8,1.4,-0.8,0.1,,2.79,2.17,-5.23,3.61,-2.41,4.51,
13,C.J. Cron,COL,6.3,0.0,0.1,3.1,-1.7,,,2.85,-0.05,0.32,7.64,-2.93,,
14,Giancarlo Stanton,NYY,6.2,0.8,-0.6,0.3,-1.2,-0.8,,2.93,0.82,-1.23,0.70,-2.62,-13.39,
15,Marcus Semien,TOR,6.1,-3.5,-0.9,-1.1,0.3,-0.1,,2.37,-2.64,-2.69,-2.62,0.64,-1.53,
16,Bryan Reynolds,PIT,5.9,1.3,0.7,-2.1,-1.1,0.9,,2.55,1.50,2.43,-4.11,-1.51,5.90,
17,Alex Verdugo,BOS,5.8,0.6,1.7,1.1,-1.4,-0.2,,2.53,0.84,5.64,3.11,-1.68,-20.02,
18,Joey Votto,CIN,5.8,-2.7,1.7,0.3,-2.8,0.1,,2.39,-4.00,7.25,0.72,-4.02,2.45,
19,Nick Castellanos,CIN,5.8,2.2,1.6,-1.5,2.2,0.1,,3.31,2.05,8.21,-4.43,3.27,1.23,
20,Xander Bogaerts,BOS,5.7,2.8,1.4,0.9,0.0,-0.3,,2.63,3.06,4.40,1.58,0.07,-9.22,
21,Carlos Santana,KCR,5.6,1.6,0.2,2.7,-2.5,0.3,,2.84,3.65,0.51,3.91,-2.42,1.61,
22,Carlos Correa,HOU,5.6,-1.2,0.2,1.8,-1.0,-0.3,,2.45,-1.42,0.69,3.40,-1.84,-2.57,
23,Mitch Haniger,SEA,5.5,-0.4,0.9,0.3,-0.1,-0.2,,2.13,-0.40,2.61,0.62,-0.12,-2.57,
24,Bryce Harper,PHI,5.5,1.7,0.4,-1.6,4.3,0.5,,3.10,2.04,1.36,-4.58,7.39,5.41,
25,Michael Brantley,HOU,5.4,2.1,-0.5,-1.1,1.2,-0.5,,2.36,2.90,-3.23,-3.61,2.26,-6.06,
26,Franmil Reyes,CLE,5.1,1.3,0.0,1.3,-0.5,0.2,,2.69,1.17,0.23,2.35,-0.78,3.60,
27,Jason Heyward,CHC,5.1,-4.2,0.9,-0.3,-2.3,-0.4,,2.73,-5.36,6.35,-1.08,-6.09,-7.25,
28,Jed Lowrie,OAK,5.0,2.5,-1.5,0.3,-0.9,0.5,,2.29,3.72,-4.80,0.49,-1.67,8.26,
29,Randy Arozarena,TBR,4.6,-0.3,-2.2,-1.1,0.4,-0.4,,2.22,-0.28,-5.85,-2.01,0.49,-9.21,
30,Dylan Carlson,STL,4.6,0.3,0.4,-2.7,0.3,0.9,,1.95,0.44,1.65,-4.95,0.31,5.83,
31,Jared Walsh,LAA,4.5,1.7,-0.5,1.7,2.1,0.0,,2.40,1.68,-3.52,2.69,2.95,-0.83,
32,Garrett Hampson,COL,4.5,-0.3,-2.3,0.3,-1.3,,,1.75,-0.36,-6.31,0.80,-2.49,,
33,Dominic Smith,NYM,4.5,-1.8,-1.3,-2.1,-3.1,-0.2,,3.09,-3.42,-4.52,-8.83,-4.96,-3.60,
34,Whit Merrifield,KCR,4.4,-3.2,-0.7,0.4,2.8,0.6,,2.16,-2.85,-2.61,0.94,7.91,10.73,
35,Trea Turner,WSN,4.4,-0.7,1.1,1.6,-1.0,0.0,,2.01,-0.77,5.37,3.36,-1.87,-3.88,
