#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
1,Jesse Winker,CIN,12.5,0.3,0.3,-1.6,0.8,-0.3,0,5.09,0.59,1.96,-3.54,1.85,-7.02,0
2,Mike Trout,LAA,11.9,4.1,1.3,0.2,1.4,-0.5,0,4.44,4.01,7.01,0.88,5.86,-12.38,0
3,Nick Solak,TEX,11.2,-1.5,-2.4,0.2,-0.6,-0.1,0,4.73,-1.46,-5.29,0.25,-1.05,-0.81,0
4,Vladimir Guerrero Jr.,TOR,10.6,2.9,0.2,2.4,-0.8,0,0,4.41,2.72,0.67,4.44,-1.67,0,0
5,Byron Buxton,MIN,9.0,2.0,3.4,1.7,-0.7,0.0,0,6.41,2.26,17.00,8.93,-1.90,-0.90,0
6,Giancarlo Stanton,NYY,8.3,0.6,-0.5,0.3,-1.1,0.0,0,3.67,0.61,-1.09,0.72,-2.57,-0.33,0
7,Ronald Acuna Jr.,ATL,7.7,3.4,2.8,0.5,1.8,0.0,0,2.58,4.79,13.38,2.62,3.00,-0.29,0
8,Shohei Ohtani,LAA,7.4,4.0,-1.3,0.6,0.2,-0.4,0,3.88,4.03,-11.76,1.13,0.30,-11.12,0
9,Yermin Mercedes,CHW,7.3,0.4,1.3,-0.5,3.5,-0.2,0,4.63,0.44,4.33,-0.92,11.51,-4.12,0
10,Evan Longoria,SFG,7.3,-1.9,0.5,-1.0,-0.2,-0.2,0,3.86,-1.77,2.22,-3.21,-0.66,-7.31,0
11,Omar Narvaez,MIL,6.9,-1.6,-0.6,1.4,0.8,-0.3,0,5.39,-3.41,-2.64,2.93,2.78,-6.40,0
12,Mike Yastrzemski,SFG,6.8,-3.6,0.0,0.3,-1.8,-0.4,0,3.70,-3.97,-0.19,1.00,-5.50,-5.89,0
13,C.J. Cron,COL,6.6,0.1,0.1,3.1,-1.7,0,0,2.93,0.08,0.33,7.68,-2.90,0,0
14,Carson Kelly,ARI,6.6,3.9,-0.2,-0.3,0.6,0,0,3.84,4.19,-1.32,-1.29,1.58,0,0
15,Mark Canha,OAK,6.5,0.0,0.1,-1.5,0.3,0.6,0,2.17,0.03,0.39,-2.60,0.66,4.91,0
16,Yuli Gurriel,HOU,6.5,1.4,0.7,-1.2,2.7,-0.3,0,2.85,1.41,1.95,-3.95,4.53,-2.82,0
17,Marcus Semien,TOR,6.4,-3.6,-0.9,-1.1,0.3,-0.1,0,2.38,-2.74,-2.51,-2.60,0.56,-1.53,0
18,Kris Bryant,CHC,6.2,3.2,0.9,0.8,2.1,0,0,2.54,2.40,2.97,2.49,4.57,0,0
19,Chris Taylor,LAD,5.9,2.5,-1.8,1.2,-0.8,0.1,0,2.42,2.17,-5.23,2.98,-2.07,8.96,0
20,Bryan Reynolds,PIT,5.9,0.9,1.9,-2.0,-1.1,0.9,0,2.55,1.02,5.66,-4.10,-1.50,5.89,0
21,Alex Verdugo,BOS,5.9,0.6,1.8,1.1,-1.4,-0.2,0,2.54,0.85,5.67,3.13,-1.67,-19.90,0
22,Nick Castellanos,CIN,5.8,2.2,1.7,-1.5,2.2,0.1,0,3.34,2.07,8.25,-4.40,3.28,1.24,0
23,Michael Brantley,HOU,5.7,2.2,-0.5,-2.0,1.2,-0.5,0,2.40,2.92,-3.22,-5.71,2.17,-6.01,0
24,Kyle Higashioka,NYY,5.7,-2.1,0.9,-1.2,0.7,0,0,8.57,-4.81,2.72,-3.66,6.08,0,0
25,Bryce Harper,PHI,5.5,1.7,0.4,-1.6,4.3,0.5,0,3.13,2.06,1.40,-4.56,7.41,5.42,0
26,Joey Votto,CIN,5.4,-2.7,1.7,0.3,-2.3,0.1,0,2.19,-3.99,7.28,0.75,-3.22,2.40,0
27,Avisail Garcia,MIL,5.3,-1.7,-0.5,-2.0,1.2,0,0,2.64,-1.57,-1.95,-7.41,3.48,0,0
28,Xander Bogaerts,BOS,5.3,2.8,1.7,0.9,0.1,-0.2,0,2.31,2.99,4.79,1.68,0.18,-4.64,0
29,Willie Calhoun,TEX,5.2,-1.5,0.1,-0.2,0.4,-0.1,0,4.25,-3.45,0.42,-1.10,1.36,-1.43,0
30,Carlos Santana,KCR,5.2,1.1,0.2,2.8,-2.7,0.3,0,2.61,2.23,0.49,3.83,-2.45,1.63,0
31,Zach McKinstry,LAD,5.2,-1.8,-0.2,0.0,-0.3,0.3,0,3.97,-3.85,-0.89,0.03,-1.85,7.68,0
32,Fernando Tatis Jr.,SDP,5.1,-0.2,1.7,-1.1,-1.0,-0.2,0,2.87,-0.19,6.52,-4.27,-3.89,-2.53,0
33,Carlos Correa,HOU,5.0,-1.2,0.3,1.6,-1.4,-0.3,0,2.17,-1.44,0.85,2.92,-2.31,-2.05,0
