#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
1,Emmanuel Clase,CLE,77.1%,100.2,22.9%,91.0,0,0,0,0,0,0,0,0,0,0,0
2,Jordan Hicks,STL,69.6%,99.3,26.1%,87.1,0,0,0,0,0,0,4.3%,90.2,0,0,0
3,Aroldis Chapman,NYY,68.5%,99.2,17.8%,85.3,0,0,0,0,0,0,13.7%,89.6,0,0,0
4,Brusdar Graterol,LAD,61.1%,99.1,38.9%,87.8,0,0,0,0,0,0,0,0,0,0,0
5,Jacob deGrom,NYM,62.6%,99.0,25.8%,91.6,0,0,0,0,11.6%,91.4,0,0,0,0,0
6,Jose Alvarado,PHI,81.8%,99.0,16.2%,94.2,0,0,1.9%,87.3,0,0,0,0,0,0,1.3%
7,Edwin Diaz,NYM,71.1%,98.9,28.9%,90.7,0,0,0,0,0,0,0,0,0,0,2.4%
8,Justin Lawrence,COL,73.1%,98.8,26.9%,82.0,0,0,0,0,0,0,0,0,0,0,0
9,Miguel Castro,NYM,43.4%,98.5,22.9%,86.2,0,0,0,0,33.7%,91.5,0,0,0,0,0
10,Domingo Tapia,SEA,91.4%,98.3,5.7%,86.0,0,0,0,0,2.9%,90.0,0,0,0,0,0
11,Julian Merryweather,TOR,54.5%,98.2,20.0%,88.2,0,0,5.5%,81.0,20.0%,80.9,0,0,0,0,0
12,Shane McClanahan,TBR,39.3%,98.1,47.5%,90.0,0,0,5.7%,83.7,7.4%,89.7,0,0,0,0,0
13,Sam Coonrod,PHI,77.6%,98.1,0,0,16.1%,90.0,0,0,6.3%,90.8,0,0,0,0,0
14,Dustin May,LAD,58.7%,98.0,0,0,18.5%,93.1,22.8%,86.6,0,0,0,0,0,0,0
15,Albert Abreu,NYY,50.0%,98.0,40.5%,86.8,0,0,2.4%,81.0,7.1%,87.0,0,0,0,0,0
16,Carlos Hernandez,KCR,58.5%,97.9,0,0,0,0,25.6%,82.7,15.9%,87.6,0,0,0,0,4.9%
17,Daniel Bard,COL,56.0%,97.8,36.3%,86.4,0,0,0,0,7.7%,89.6,0,0,0,0,0
18,Blake Treinen,LAD,40.2%,97.7,27.8%,86.8,32.1%,93.3,0,0,0,0,0,0,0,0,1.9%
19,Gregory Santos,SFG,43.4%,97.7,56.6%,89.8,0,0,0,0,0,0,0,0,0,0,0
20,Gregory Soto,DET,56.3%,97.7,43.8%,88.7,0,0,0,0,0,0,0,0,0,0,0
21,Camilo Doval,SFG,36.0%,97.6,64.0%,85.8,0,0,0,0,0,0,0,0,0,0,0.9%
22,Sandy Alcantara,MIA,51.8%,97.3,21.0%,90.1,0,0,4.9%,84.0,22.4%,91.6,0,0,0,0,0.2%
23,Drew Rasmussen,MIL,71.0%,97.3,23.4%,87.0,0,0,2.0%,81.0,3.6%,89.9,0,0,0,0,1.6%
24,Tyler Glasnow,TBR,53.5%,97.3,28.5%,88.1,0,0,14.9%,83.8,3.1%,91.8,0,0,0,0,0
25,Gerrit Cole,NYY,46.4%,97.3,20.2%,88.2,0,0,18.0%,82.9,15.4%,88.8,0,0,0,0,0
26,Josh Staumont,KCR,71.1%,97.3,0,0,0,0,28.9%,81.2,0,0,0,0,0,0,0.4%
