#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
1,Brandon Woodruff,MIL,16.5,2.6,0,3.7,0.1,0,0,2.86,1.93,0,3.32,0.14,0,0
2,Trevor Bauer,LAD,16.1,5.1,-3.2,-1.9,-0.3,0,0,2.89,2.39,-1.30,-1.47,-2.95,0,0
3,Walker Buehler,LAD,15.6,-2.0,0.0,-2.1,0.0,0,0,2.78,-1.64,-0.01,-1.40,0.00,0,0
4,Kevin Gausman,SFG,13.1,-0.7,0,0,-1.6,6.8,0,2.64,-0.90,0,0,-3.31,1.96,0
5,Carlos Rodon,CHW,12.3,6.0,0,0.1,-2.6,0,0,2.65,3.17,0,0.45,-1.84,0,0
6,Tyler Glasnow,TBR,11.0,2.1,0,3.0,-2.4,0,0,1.98,0.64,0,1.92,-7.06,0,0
7,Richard Rodriguez,PIT,10.1,0.0,0,0,0,0,0,3.91,-0.08,0,0,0,0,0
8,Zack Wheeler,PHI,9.8,4.6,0,1.0,-0.2,-0.1,0,1.53,1.79,0,1.41,-0.53,-9.49,0
9,Jacob deGrom,NYM,7.8,4.7,0,0,3.3,0,0,2.00,3.29,0,0,4.52,0,0
10,Martin Perez,BOS,7.8,0,-2.6,-2.9,-0.5,0,0,2.79,0,-0.99,-3.53,-0.27,0,0
11,Max Scherzer,WSN,7.1,4.7,0.5,-1.2,1.5,0,0,1.46,2.39,0.54,-1.71,1.08,0,0
12,Chad Green,NYY,6.8,0,0,1.2,0,0,0,2.77,0,0,0.99,0,0,0
13,Taijuan Walker,NYM,6.7,3.6,-0.3,0.6,0,0.4,0,1.84,2.74,-1.36,1.02,0,0.42,0
14,Gerrit Cole,NYY,6.5,3.0,0,1.6,9.6,0,0,1.28,1.39,0,0.78,5.88,0,0
15,Lance Lynn,CHW,6.3,3.7,0,-0.3,0,-0.6,0,1.22,1.65,0,-2.11,0,-2.08,0
16,Ian Kennedy,TEX,6.3,0,1.1,0.7,-3.7,0,0,2.84,0,21.63,4.36,-11.78,0,0
17,Freddy Peralta,MIL,6.3,2.9,0,0.7,0.4,0,0,1.34,1.04,0,1.78,0.55,0,0
18,Jose Urquidy,HOU,6.1,-2.4,0,0.1,0.0,0,0,1.65,-1.70,0,0.23,0.02,0,0
19,James Karinchak,CLE,6.0,0,0,1.7,0,0,0,2.13,0,0,1.44,0,0,0
20,Anthony DeSclafani,SFG,5.9,2.6,0,-1.3,-0.8,0,0,1.32,0.84,0,-1.52,-0.96,0,0
21,Chris Bassitt,OAK,5.9,3.0,0.9,-1.3,0.6,0,0,1.03,3.39,0.42,-1.97,0.70,0,0
22,Daniel Hudson,WSN,5.9,0.4,0,0,-0.1,0,0,2.76,0.69,0,0,-1.29,0,0
23,Josh Hader,MIL,5.9,1.4,0,0,0.6,0,0,2.95,1.36,0,0,2.63,0,0
24,Danny Duffy,KCR,5.7,1.1,0,-0.7,1.5,0,0,1.55,0.76,0,-0.96,1.37,0,0
25,Trevor Rogers,MIA,5.7,-0.3,0,0,5.7,0,0,1.10,-0.23,0,0,2.78,0,0
26,Pablo Lopez,MIA,5.7,0,0.3,-0.4,-0.4,0,0,1.27,0,0.28,-0.40,-0.11,0,0
27,Cody Poteet,MIA,5.7,-1.8,0,-1.6,2.0,0,0,3.65,-2.83,0,-3.78,2.64,0,0
28,Michael Kopech,CHW,5.7,0.8,0,-0.4,0.8,0,0,1.70,0.70,0,-0.70,3.34,0,0
29,Jack Flaherty,STL,5.3,-0.4,0,0.7,-0.3,0,0,0.95,-0.13,0,0.55,-1.40,0,0
30,Aroldis Chapman,NYY,5.2,0.2,0,0,0,1.8,0,2.63,0.36,0,0,0,5.49,0
31,Kyle Gibson,TEX,5.2,2.1,-0.1,2.5,3.1,0,0,1.18,1.25,-0.12,4.10,2.68,0,0
32,Tyler Matzek,ATL,5.0,2.1,0,-3.1,0,0,0,1.94,2.74,0,-7.64,0,0,0
33,Marcus Stroman,NYM,4.9,2.9,2.6,0.0,-1.0,0,0,1.26,1.20,2.22,0.22,-0.94,0,0
34,Giovanny Gallegos,STL,4.7,5.7,0,0,0.7,0,0,2.21,2.99,0,0,2.05,0,0
35,Andrew Chafin,CHC,4.7,1.5,0,0,0.0,0,0,1.96,1.30,0,0,-2.58,0,0
36,Kendall Graveman,SEA,4.5,3.0,0,0,0.7,0,0,2.89,5.54,0,0,2.59,0,0
37,Dylan Floro,MIA,4.4,0,0.0,0,-2.0,0,0,2.22,0,0.07,0,-1.68,0,0
38,Steve Cishek,LAA,4.3,-1.3,0,0,-0.8,0,0,1.71,-0.74,0,0,-41.76,0,0
39,Lucas Luetge,NYY,4.3,-2.9,0,0.8,0,0,0,1.85,-3.22,0,1.87,0,0,0
40,Spencer Turnbull,DET,4.0,1.6,0,0.1,0.3,0,0,1.09,1.00,0,0.13,0.76,0,0
41,Logan Webb,SFG,4.0,1.2,0.1,0,-4.6,0,0,1.20,0.76,1.02,0,-2.21,0,0
42,Chris Rodriguez,LAA,3.9,-0.9,0,0.7,-0.4,0,0,2.41,-9.09,0,1.23,-2.27,0,0
43,Lou Trivino,OAK,3.9,0,0.0,0.4,-0.3,0,0,1.63,0,-0.05,0.86,-1.05,0,0
44,Adrian Houser,MIL,3.9,-0.2,0,-1.5,-3.7,0,0,0.69,-0.33,0,-1.38,-3.89,0,0
45,Tyler Mahle,CIN,3.8,-3.1,0,0,0,0.7,0,0.82,-0.98,0,0,0,0.62,0
