#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
1,Tyler Glasnow,TBR,9.1,0.5,,1.9,-0.7,,,2.53,0.27,,1.85,-3.23,,
2,Trevor Bauer,LAD,8.1,3.5,-0.4,-2.0,-0.1,,,2.44,3.10,-0.25,-2.13,-2.66,,
3,Brandon Woodruff,MIL,8.0,1.8,,2.6,-0.7,,,2.40,2.75,,4.35,-1.05,,
4,Marcus Stroman,NYM,6.1,1.8,2.8,,-1.6,,,3.18,2.27,3.42,,-3.15,,
5,Anthony DeSclafani,SFG,6.1,3.2,,-0.9,0.2,,,2.45,2.07,,-1.43,0.45,,
6,Gerrit Cole,NYY,5.9,2.4,,-0.3,5.8,,,2.12,1.95,,-0.24,6.34,,
7,Kevin Gausman,SFG,5.6,-0.9,,,-1.2,4.7,,1.88,-2.08,,,-4.75,2.26,
8,Jacob deGrom,NYM,5.6,3.8,,,2.4,,,1.89,3.11,,,4.39,,
9,Jack Flaherty,STL,5.1,-1.1,,-0.4,-0.2,,,1.53,-0.63,,-0.59,-1.40,,
10,Adrian Houser,MIL,4.7,-0.6,,-1.4,-2.8,,,1.43,-1.69,,-1.90,-4.54,,
11,Danny Duffy,KCR,4.6,1.9,,-0.6,2.0,,,1.74,1.99,,-1.29,2.68,,
12,Zack Wheeler,PHI,4.6,2.4,,-0.7,-0.3,,,1.21,1.72,,-1.41,-0.93,,
13,Pablo Lopez,MIA,4.4,,-2.5,0.0,3.4,,,1.76,,-5.17,0.01,1.69,,
14,J.A. Happ,MIN,4.3,0.7,,-0.2,,2.2,,1.38,0.84,,-1.31,,3.52,
15,Jose Urquidy,HOU,4.2,-1.3,,-0.3,-1.1,,,1.42,-1.04,,-0.82,-1.05,,
16,Carlos Martinez,STL,4.2,0.9,0.8,-0.9,-0.5,,,2.03,0.83,0.64,-3.22,-0.81,,
17,Matthew Boyd,DET,4.0,1.4,,0.1,3.0,,,1.60,1.23,,0.32,2.55,,
18,Max Scherzer,WSN,3.7,2.7,-0.8,-1.7,2.2,,,1.28,2.41,-1.27,-4.20,2.65,,
19,Jose Urena,DET,3.6,0.8,,,-0.7,,,1.02,0.53,,,-1.60,,
20,Walker Buehler,LAD,3.6,-1.7,2.5,-0.4,0.0,,,1.32,-4.00,3.97,-0.50,0.00,,
21,Aaron Nola,PHI,3.5,,-0.1,2.3,0.2,,,1.08,,-0.67,1.20,0.17,,
22,Kyle Gibson,TEX,3.0,1.5,0.3,1.4,1.7,,,1.05,1.26,0.31,3.68,2.74,,
23,Jose Berrios,MIN,3.0,,,2.4,-0.1,,,1.01,,,1.47,-0.13,,
24,Jon Gray,COL,2.9,0.6,,-0.8,-0.6,,,1.15,0.31,,-2.95,-0.94,,
25,Steven Matz,TOR,2.5,0.1,,-1.9,-1.9,,,1.07,0.12,,-2.34,-1.29,,
26,Huascar Ynoa,ATL,2.3,3.8,,,0.3,,,0.92,1.62,,,0.87,,
27,Aaron Civale,CLE,2.2,-2.8,3.7,0.0,,1.7,,1.15,-3.44,3.24,-0.01,,1.83,
28,Zach Eflin,PHI,2.1,0.2,1.3,-1.7,-1.5,,,0.71,0.21,2.84,-3.06,-2.81,,
29,Tyler Mahle,CIN,1.7,-0.7,,,,1.3,,0.56,-0.37,,,,1.88,
30,Trevor Rogers,MIA,1.5,-0.8,,,4.6,,,0.48,-1.02,,,4.30,,
31,Matt Harvey,BAL,1.4,-0.5,,-1.6,0.0,,,0.44,-0.45,,-3.17,0.00,,
32,Dylan Cease,CHW,1.1,1.2,,0.8,1.3,,,0.38,0.80,,1.45,3.26,,
33,Sandy Alcantara,MIA,1.0,2.1,,-1.3,2.6,,,0.30,1.54,,-4.10,1.79,,
34,Nick Pivetta,BOS,1.0,4.0,,-0.8,-0.5,,,0.33,2.39,,-0.99,-24.97,,
35,Cole Irvin,OAK,0.9,-0.8,,-0.7,2.8,,,0.28,-0.87,,-3.13,2.58,,
36,Ian Anderson,ATL,0.8,,,-0.1,3.4,,,0.29,,,-0.10,1.92,,
37,Charlie Morton,ATL,0.6,,-0.7,1.6,-0.1,,,0.19,,-1.04,0.93,-0.81,,
38,Lucas Giolito,CHW,0.3,-2.2,,,0.1,,,0.10,-2.67,,,0.07,,
39,Taijuan Walker,NYM,0.2,2.0,-0.5,0.4,,1.1,,0.10,2.37,-2.86,1.22,,2.02,
